Image Name,Mood,Color Palette,Category,Image Description
S001,"Warm, Rustic","Golden Cream, Sandstone",Hero Image,"A cozy kitchen scene featuring wooden countertops and warm lighting, evoking a welcoming ambiance."
S002,"Bright, Modern","Sky Blue, Fresh Basil",Section Break,"A minimalist table setting with white plates and green garnishes, conveying freshness and simplicity."
S003,"Romantic, Lush","Sunset Peach, Olive Grove",Background,"Close-up of a floral arrangement with soft peach and green tones, creating an intimate atmosphere."
S004,"Earthy, Relaxed","Baked Crust, Wasabi Mist",Accent Image,"A rustic loaf of bread on a wooden board, highlighting artisanal craftsmanship and natural textures."
S005,"Elegant, Airy","Santorini Blue, Seafoam",Hero Image,"A seaside dining setup with blue and white decor, capturing the essence of coastal elegance."
S006,"Soulful, Casual","Papaya Punch, Sandstone",Section Break,"An inviting brunch scene with bright ceramics and papaya tones, ideal for casual gatherings."
S007,"Botanical, Airy","Fresh Basil, Seafoam",Background,"A sunlit garden table with herbs and glassware, suggesting al fresco freshness."
S008,"Moody, Refined","Spiced Maple, Smoke",Accent Image,"A moody candlelit table with rich textures, perfect for intimate evening dining."
S009,"Golden Hour, Oceanic","Sky Blue, Golden Cream",Hero Image,"Golden light reflecting off coastal waters, setting a serene, contemplative mood."
S010,"Playful, Fresh","Saffron Lime, Papaya Punch",Section Break,"Colorful ingredients scattered playfully across a counter, capturing culinary creativity."
S011,"Seasonal, Earthy","Ginger Blossom, Baked Crust",Background,"Fall harvest textures: pumpkins, wood, and herbs in a rich still life."
S012,"Rustic, Refined","Baked Crust, Olive Grove",Hero Image,"Rustic bread, cheese, and olives laid out with refined detail and deep hues."
S013,"Bright, Elegant","Santorini Blue, Golden Cream",Section Break,A bright and airy space with layered textures and delicate glassware.
S014,"Communal, Soulful","Sandstone, Fresh Basil",Background,"A communal table mid-meal, full of warmth and conversation."
S015,"Casual, Warm","Papaya Punch, Sunset Peach",Accent Image,"A backyard gathering under string lights, casual and joy-filled."
S016,"Oceanic, Relaxed","Seafoam, Sky Blue",Hero Image,Soft blue waves and a breezy setting evoke relaxation and calm.
S017,"Romantic, Golden Hour","Sunset Peach, Golden Cream",Background,"Golden sunlight across a romantic floral setup, perfect for late dinners."
S018,"Modern, Botanical","Wasabi Mist, Fresh Basil",Accent Image,A modern kitchen filled with light and leafy green accents.
S019,"Elegant, Seasonal","Golden Cream, Spiced Maple",Section Break,Layered seasonal decor in soft golden tones for a celebratory table.
S020,"Airy, Lush","Seafoam, Olive Grove",Background,"A bright, lush table styled with florals and artisanal ceramics."
S021,"Soulful, Spontaneous","Papaya Punch, Saffron Lime",Accent Image,"Spontaneous moment captured mid-toast, vibrant and soul-stirring."
