Name,Hex,Usage
Golden Cream,#fff4dc,"Backgrounds, highlights"
Sunset Peach,#ffd7b3,"Chef accent, CTA button"
Papaya Punch,#f8caa5,Menu border accent
Saffron Lime,#d2f1a3,Light section background
Fresh Basil,#aee0a1,"Footer, category accents"
Olive Grove,#b6d89f,Alternate section background
Wasabi Mist,#caf2e6,Light backgrounds
Seafoam,#a9e5dc,"CTA hover, border accents"
Sky Blue,#b7d6f2,Link accents
Santorini Blue,#a8caff,"Headers, hover states"
Sandstone,#efe2bd,Backgrounds
Baked Crust,#ffe199,Category label backgrounds
Ginger Blossom,#f9b9b7,"Quote text, mood highlights"
Spiced Maple,#f5c6a0,Callout section accents
Pomegranate Cream,#e7b8c1,"Vibe highlight, buttons"
